,sentences,words,word_meanings,predict_meaning,trues,second_trues
0,大学之道，在明明德，在亲民，在止于【至】善,至,"1、<动>来到；到达
<例句：王无罪岁，斯天下之民至焉。>
2、<形>达到顶点
<例句：二者用精至矣。>
3、<形>周到
<例句：或遇其叱咄，色愈恭，礼愈至，不敢出一言以复。>
4、<副>极；最
<例句：寡助之至，亲戚畔之。>
5、<连>至于
<例句：至桀、纣之暴，犹谓汤、武不当诛之。>
",<形>达到顶点[<形>达到顶点],0,1
1,物有本末，【事】有终始,事,"1、<名>事情
<例句：及其所之既倦，情随事迁，感慨系之矣。>
2、<名>特指战事
<例句：延及孝文王、庄襄王，享国之日浅，国家无事。>
3、<名>政治事务
<例句：赵太后新用事。>
4、<动>从事；做
<例句：如曰今日当一切不事事。>
5、<动>侍奉；服侍
<例句：臣所以去亲戚而事君者，徒慕君之高义也。>
6、<量>件；样；种
<例句：献白玉箫管百事。>
",<名>事情[<名>事情],0,1
2,知所先后，则近道【矣】,矣,"1、用于陈述句尾。助肯定语气。有的可译为''了""，有的可不译。助已然语气，说明事情已实现，可译为""了""。助将然语气，说明事情将要实现，可译为""了""。
<例句：此为长江之险已与我共之矣。>
<例句：原庄宗之所以得天下，与其所以失之者，可以知之矣。>
<例句：庭有枇杷树，吾妻死之年所手植也，今已亭亭如盖矣。>
<例句：事急而不断，祸至无日矣！>
2、用于感叹句。助感慨、讥刺、赞颂语气，可译为""了""""啊""。
<例句：甚矣，汝之不惠！>
<例句：呜呼，烈矣！>
3、用于祈使句，助请求、劝勉、禁止语气，可译为''吧""。
<例句：愿君即以遂备员而行矣。>
<例句：公子勉之矣，老臣不能从。>
4、用于疑问句末，助疑问语气。
<例句：年几何矣？>
","用于陈述句尾。助肯定语气。有的可译为''了""，有的可不译。助已然语气，说明事情已实现，可译为""了""。助将然语气，说明事情将要实现，可译为""了""。[用于陈述句尾。助肯定语气。有的可译为''了""，有的可不译。助已然语气，说明事情已实现，可译为""了""。助将然语气，说明事情将要实现，可译为""了""。]",0,1
3,【古】之欲明明德于天下者，先治其国,古,"1、<名>古代
<例句：今之乐犹古之乐也。>
2、<形>历时长焦的；古老的
<例句：从数骑出，微行入古寺。>
",<名>古代,1,0
4,古之欲明明德于天下者，【先】治其国,先,"1、<形>次序或时间在前的
<例句：舟与哨相后先，几邂逅死。>
2、<动>走在前面；向前走
<例句：矢交坠兮士争先。>
3、<名>先导；前驱；表率
<例句：吾社之行为士之先者，为之声义。>
4、<动>抢先；先做
<例句：战者，必然之势也，不先于我，则先于彼。>
5、<形>从前的；过去的
<例句：果不如先愿，又非君所详。>
6、<形>对已经死去的尊长或祖先的尊
<例句：先帝创业未半而中道崩殂。>
7、<名>祖先
<例句：蒙恬者，其先齐人也。>
8、<名>前辈
<例句：尝趋百里外从乡之先达执经叩问。>
9、<副>指事情、行为发生之前
<例句：天将降大任于斯人也，必先苦其收志。>
",<副>指事情、行为发生之前[<副>指事情、行为发生之前],0,1
5,古之欲明明德于天下者，先【治】其国,治,"1、<动>治理
<例句：民不足而可治者，自下及今未之尝闻。>
2、<动>惩处
<例句：不效则治臣之罪。>
3、<动>医治
<例句：君有疾在腠理，不治将恐深。>
4、<动>建造
<例句：为治斋宫河上。>
5、<动>整理；备办
<例句：于是约车治装，载券契而行。>
6、<动>训练
<例句：史公治兵，往来桐城。>
7、<动>对付；抵御
<例句：同心一意，共治曹操。>
8、<动>处理
<例句：单于使卫律治其事。>
9、<动>讲求；研究
<例句：此惟救死而恐不赡，奚暇治礼义哉。>
10、<名>地方政府所在地
<例句：州治德化县，即唐之浔阳县。>
11、<形>治理得好；太平
<例句：明于治乱，娴于辞令。>
",<动>治理,1,0
6,古之欲明明德于天下者，先治其【国】,国,"1、<名>国家
<例句：故治国无法则乱。>
2、<名>周代诸侯国以及汉以后侯王的封地
<例句：察邻国之政，无如寡人用心者。>
3、<名>国都；京都
<例句：武夫力而拘诸原，妇人暂而免诸国。>
<例句：则有去国怀乡，忧谗畏讥。>
4、<名>地方；地域
<例句：逝将去女，适彼乐国。>
",<名>国家,1,0
7,【欲】治其国者，先齐其家，欲齐其家者，先修其身,欲,"1、<动>想要得到；需要
<例句：鱼，我所欲也，熊掌，亦我所欲也。>
2、<动>希望
<例句：吾欲之南海，何如?>
3、<副>将要；将
<例句：森然欲搏人。>
4、<名>愿望
<例句：乃诈称公子扶苏、项燕，从民之欲也。>
5、<名>贪欲
<例句：暴秦之欲无厌。>
",<动>希望,1,0
8,欲【治】其国者，先齐其家，欲齐其家者，先修其身,治,"1、<动>治理
<例句：民不足而可治者，自下及今未之尝闻。>
2、<动>惩处
<例句：不效则治臣之罪。>
3、<动>医治
<例句：君有疾在腠理，不治将恐深。>
4、<动>建造
<例句：为治斋宫河上。>
5、<动>整理；备办
<例句：于是约车治装，载券契而行。>
6、<动>训练
<例句：史公治兵，往来桐城。>
7、<动>对付；抵御
<例句：同心一意，共治曹操。>
8、<动>处理
<例句：单于使卫律治其事。>
9、<动>讲求；研究
<例句：此惟救死而恐不赡，奚暇治礼义哉。>
10、<名>地方政府所在地
<例句：州治德化县，即唐之浔阳县。>
11、<形>治理得好；太平
<例句：明于治乱，娴于辞令。>
",<动>治理,1,0
9,欲治【其】国者，先齐其家，欲齐其家者，先修其身,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",。[。],0,1
10,欲治其【国】者，先齐其家，欲齐其家者，先修其身,国,"1、<名>国家
<例句：故治国无法则乱。>
2、<名>周代诸侯国以及汉以后侯王的封地
<例句：察邻国之政，无如寡人用心者。>
3、<名>国都；京都
<例句：武夫力而拘诸原，妇人暂而免诸国。>
<例句：则有去国怀乡，忧谗畏讥。>
4、<名>地方；地域
<例句：逝将去女，适彼乐国。>
",<名>国家,1,0
11,欲治其国者，【先】齐其家，欲齐其家者，先修其身,先,"1、<形>次序或时间在前的
<例句：舟与哨相后先，几邂逅死。>
2、<动>走在前面；向前走
<例句：矢交坠兮士争先。>
3、<名>先导；前驱；表率
<例句：吾社之行为士之先者，为之声义。>
4、<动>抢先；先做
<例句：战者，必然之势也，不先于我，则先于彼。>
5、<形>从前的；过去的
<例句：果不如先愿，又非君所详。>
6、<形>对已经死去的尊长或祖先的尊
<例句：先帝创业未半而中道崩殂。>
7、<名>祖先
<例句：蒙恬者，其先齐人也。>
8、<名>前辈
<例句：尝趋百里外从乡之先达执经叩问。>
9、<副>指事情、行为发生之前
<例句：天将降大任于斯人也，必先苦其收志。>
",<副>指事情、行为发生之前,1,0
12,欲治其国者，先齐【其】家，欲齐其家者，先修其身,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",。[。],0,1
13,欲治其国者，先齐其家，【欲】齐其家者，先修其身,欲,"1、<动>想要得到；需要
<例句：鱼，我所欲也，熊掌，亦我所欲也。>
2、<动>希望
<例句：吾欲之南海，何如?>
3、<副>将要；将
<例句：森然欲搏人。>
4、<名>愿望
<例句：乃诈称公子扶苏、项燕，从民之欲也。>
5、<名>贪欲
<例句：暴秦之欲无厌。>
",<动>希望,1,0
14,欲治其国者，先齐其家，欲齐【其】家者，先修其身,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",。[。],0,1
15,欲治其国者，先齐其家，欲齐其家者，【先】修其身,先,"1、<形>次序或时间在前的
<例句：舟与哨相后先，几邂逅死。>
2、<动>走在前面；向前走
<例句：矢交坠兮士争先。>
3、<名>先导；前驱；表率
<例句：吾社之行为士之先者，为之声义。>
4、<动>抢先；先做
<例句：战者，必然之势也，不先于我，则先于彼。>
5、<形>从前的；过去的
<例句：果不如先愿，又非君所详。>
6、<形>对已经死去的尊长或祖先的尊
<例句：先帝创业未半而中道崩殂。>
7、<名>祖先
<例句：蒙恬者，其先齐人也。>
8、<名>前辈
<例句：尝趋百里外从乡之先达执经叩问。>
9、<副>指事情、行为发生之前
<例句：天将降大任于斯人也，必先苦其收志。>
",<副>指事情、行为发生之前,1,0
16,欲治其国者，先齐其家，欲齐其家者，先修【其】身,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",。[。],0,1
17,【欲】修其身者，先正其心,欲,"1、<动>想要得到；需要
<例句：鱼，我所欲也，熊掌，亦我所欲也。>
2、<动>希望
<例句：吾欲之南海，何如?>
3、<副>将要；将
<例句：森然欲搏人。>
4、<名>愿望
<例句：乃诈称公子扶苏、项燕，从民之欲也。>
5、<名>贪欲
<例句：暴秦之欲无厌。>
",<动>希望,1,0
18,欲修其身者，先正其【心】,心,"1、<名>心脏
<例句：顺我，即先刺心。>
2、<名>心脏所在的胸部
<例句：此臣日夜切齿拊心也。>
3、<名>内心，古人认为心是思维的器官
<例句：读书三到，谓心到，眼到，口到。>
4、<名>想法；心意
<例句：勤而无所，必有悖心。>
5、<名>中心；中央
<例句：唯见江心秋月白。>
",<名>内心，古人认为心是思维的器官[<名>内心，古人认为心是思维的器官],0,1
19,【欲】正其心者，先诚其意,欲,"1、<动>想要得到；需要
<例句：鱼，我所欲也，熊掌，亦我所欲也。>
2、<动>希望
<例句：吾欲之南海，何如?>
3、<副>将要；将
<例句：森然欲搏人。>
4、<名>愿望
<例句：乃诈称公子扶苏、项燕，从民之欲也。>
5、<名>贪欲
<例句：暴秦之欲无厌。>
",<动>希望,1,0
20,欲正【其】心者，先诚其意,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",。[。],0,1
21,欲正其【心】者，先诚其意,心,"1、<名>心脏
<例句：顺我，即先刺心。>
2、<名>心脏所在的胸部
<例句：此臣日夜切齿拊心也。>
3、<名>内心，古人认为心是思维的器官
<例句：读书三到，谓心到，眼到，口到。>
4、<名>想法；心意
<例句：勤而无所，必有悖心。>
5、<名>中心；中央
<例句：唯见江心秋月白。>
",<名>内心，古人认为心是思维的器官[<名>内心，古人认为心是思维的器官],0,1
