,Unnamed: 0,句子,字,释义,正确选项（填序号）：
1475,3011,”是故君子不赏而民劝，【不】怒而民威于鈇钺,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",
787,2323,大哉！圣人之道洋洋乎！发育万物，峻【极】于天,极,"1、<名>房顶正中的大梁
<例句：茂初在广汉，梦坐大殿，极上有三穗禾。>
2、<名>屋顶；屋脊
<例句：牗其前以通明，屋极有窗以达气。>
3、<名>辘轳的横梁
<例句：泰山之霤穿石，单极之绠断干。>
4、<名>尽头；顶点
<例句：吾王之好鼓乐，夫何使我至于此极也。>
5、<名>最高的境地
<例句：大抵诗欲工而工非诗之极也。>
6、<名>边；边境
<例句：往古之时，四极废，九州裂，天不兼覆，地不周载。>
7、<动>到达尽头，到达顶点
<例句：尽态极妍。>
8、<动>穷尽；完全占有或享受
<例句：而余亦悔其随之而不得极夫游之乐也。>
9、<形>疲劳；困倦
<例句：匈喘胅汗，人极马倦。>
10、<副>最；非常；极其
<例句：初极狭，才通人。>
",
651,2187,天地之道：博也，厚【也】，高也，明也，悠也，久也,也,"1、表示判断语气的。
<例句：死生，昼夜事也。>
<例句：吾师肺肝，皆铁石所铸造也。>
2、表示肯定语气的。
<例句：昔人云：""将以有为也。"">
<例句：吾上恐负朝廷，下恐愧吾师也。>
3、就是有否定词的句子，仍然是一种表否定的肯定。
<例句：众曰：""若所为诚快，然使君冤未白，犹无益也。"">
4、表示疑问语气的。
<例句：吾王庶几无疾病与，何以能鼓乐也？>
<例句：公子畏死邪？何泣也？>
5、表示感叹语气的。
<例句：吾王之好田猎，夫何使我至于此极也！>
<例句：君美甚，徐公何能及君也！>
6、用在句中，表示停顿，以舒缓语气。
<例句：当余之从师也，负箧曳屣，行深山巨谷中……>
<例句：师道之不传也久矣。>
",
303,1839,“博学之，审问【之】，慎思之，明辨之，笃行之,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",
1128,2664,【仲】尼祖述尧舜，宪章文武：上律天时，下袭水土,仲,"1、<形>排行第二的
<例句：某业所就，孰与仲多？>
2、<形>位居第二的
<例句：出师一表真名世，千载谁堪伯仲间。>
",
980,2516,王天下有三【重】焉，其寡过矣乎！上焉者虽善无徵，无徵不信，不信民弗从；下焉者虽善不尊，不尊不信，不信民弗从,重,"1、<形>重，与“轻”相对
<例句：士不可以不弘毅，任重而道远。>
2、<形>重要；重大
<例句：则予此行所负之责任，尤倍重于三十年前。>
3、<动>重视；看重
<例句：商人重利轻别离。>
4、<形>贵重
<例句：不爱珍器重宝肥饶之地。>
5、<形>严重
<例句：情罪重者反出在外。>
6、<形>严格
<例句：古之君子，其责己也重以周。>
7、<形>庄重
<例句：君子不重则不威，学则不固。>
8、<动>尊重
<例句：此四君者，皆明智而忠信，宽厚而爱人，尊贤而重士。>
9、<副>更加；加重
<例句：见犯乃死，重辱国。>
10、<形>重叠
<例句：重岩叠嶂，隐天蔽日。>
11、<量>层
<例句：卷我屋上三重茅。>
12、<副>重新；再次
<例句：添酒回灯重开宴。>
13、<动>拖累；牵连
<例句：事发相重，岂不危哉。>
",
1240,2776,溥博【如】天，渊泉如渊,如,"1、<动>往；到……去
<例句：入溆浦余儃佪兮，迷不知吾所如。>
2、<动>依照；遵从
<例句：先生如其指，内狼于囊。>
3、<动>顺；符合
<例句：邂逅不如意，便还就孤。>
4、<动>像；如同
<例句：日初出大如车盖。>
5、<动>及；比得上
<例句：天时不如地利。>
6、<动>用于短语“如……何”中，表示“对待……怎么办”、“把……怎么办”
<例句：如太行、王屋何？>
7、<副>不如；应该
<例句：若爱重伤，则如勿伤。>
8、<连>如果；假如
<例句：洛阳亲友如相问。>
9、<连>或者
<例句：安见方六七十，如五六十，而非邦也者？>
10、<连>至于
<例句：如其礼乐，以俟君子。>
11、词缀
<例句：……的样子>
<例句：仁义之人，其言蔼如也。>
",
1135,2671,仲尼祖述尧舜，宪章文武：上律【天】时，下袭水土,天,"1、<名>天空
<例句：是日也，天朗气清，惠风和畅。>
<例句：其容清明，天高日晶。>
<例句：天似穹庐，笼盖四野。>
2、<名>天气；气候
<例句：可怜身上衣正单，心忧炭贱愿天寒。>
3、<名>自然；本性
<例句：依乎天理，批大郤，导大窾。>
4、<名>古代人们想像中万事万物的主宰者
<例句：秦违蹇叔而以贪勤民，天奉我也。>
<例句：隘而不列，天赞我也。>
<例句：此天亡我也，非战之罪也。>
5、<名>人们赖以生存的人物
<例句：王者以民人为天，而民人以食为天。>
",
1079,2615,是故君子动而世为天下道，【行】而世为天下法，言而世为天下则,行,"1、<动>行走
<例句：三人行，必有我师焉。>
2、<动>出行
<例句：为吾子之将行也。>
3、<动>运行
<例句：舟已行矣，而剑不行。>
4、<动>传布
<例句：士之处此世，而望名誉之光，道德行，难已。>
5、<动>实行；做
<例句：君子寡欲则不役于物，可以直道而行。>
6、<名>动作；行动；举动
<例句：大行不顾细谨。>
7、<名>品行
<例句：其志洁，其行廉。>
8、<副>将；即将
<例句：善万物之得时，感吾生之行休。>
9、<量>遍；次
<例句：客至未尝不置酒，或三行五行。>
10、<名>道路
<例句：遵彼微行。>
11、<名>行列；队伍
<例句：凌余阵兮躐余行。>
12、<名>辈；辈分
<例句：汉天子，我丈人行也。>
13、<量>指成行的事物
<例句：出门登车去，涕落百余行。>
14、<动>行走
<例句：三人行，必有我师焉。>
15、<动>出行
<例句：为吾子之将行也。>
16、<动>运行
<例句：舟已行矣，而剑不行。>
17、<动>传布
<例句：士之处此世，而望名誉之光，道德行，难已。>
18、<动>实行；做
<例句：君子寡欲则不役于物，可以直道而行。>
19、<名>动作；行动；举动
<例句：大行不顾细谨。>
20、<名>品行
<例句：其志洁，其行廉。>
21、<副>将；即将
<例句：善万物之得时，感吾生之行休。>
22、<量>遍；次
<例句：客至未尝不置酒，或三行五行。>
23、<名>道路
<例句：遵彼微行。>
24、<名>行列；队伍
<例句：凌余阵兮躐余行。>
25、<名>辈；辈分
<例句：汉天子，我丈人行也。>
26、<量>指成行的事物
<例句：出门登车去，涕落百余行。>
27、<动>行走
<例句：三人行，必有我师焉。>
28、<动>出行
<例句：为吾子之将行也。>
29、<动>运行
<例句：舟已行矣，而剑不行。>
30、<动>传布
<例句：士之处此世，而望名誉之光，道德行，难已。>
31、<动>实行；做
<例句：君子寡欲则不役于物，可以直道而行。>
32、<名>动作；行动；举动
<例句：大行不顾细谨。>
33、<名>品行
<例句：其志洁，其行廉。>
34、<副>将；即将
<例句：善万物之得时，感吾生之行休。>
35、<量>遍；次
<例句：客至未尝不置酒，或三行五行。>
36、<名>道路
<例句：遵彼微行。>
37、<名>行列；队伍
<例句：凌余阵兮躐余行。>
38、<名>辈；辈分
<例句：汉天子，我丈人行也。>
39、<量>指成行的事物
<例句：出门登车去，涕落百余行。>
40、<动>行走
<例句：三人行，必有我师焉。>
41、<动>出行
<例句：为吾子之将行也。>
42、<动>运行
<例句：舟已行矣，而剑不行。>
43、<动>传布
<例句：士之处此世，而望名誉之光，道德行，难已。>
44、<动>实行；做
<例句：君子寡欲则不役于物，可以直道而行。>
45、<名>动作；行动；举动
<例句：大行不顾细谨。>
46、<名>品行
<例句：其志洁，其行廉。>
47、<副>将；即将
<例句：善万物之得时，感吾生之行休。>
48、<量>遍；次
<例句：客至未尝不置酒，或三行五行。>
49、<名>道路
<例句：遵彼微行。>
50、<名>行列；队伍
<例句：凌余阵兮躐余行。>
51、<名>辈；辈分
<例句：汉天子，我丈人行也。>
52、<量>指成行的事物
<例句：出门登车去，涕落百余行。>
53、<动>行走
<例句：三人行，必有我师焉。>
54、<动>出行
<例句：为吾子之将行也。>
55、<动>运行
<例句：舟已行矣，而剑不行。>
56、<动>传布
<例句：士之处此世，而望名誉之光，道德行，难已。>
57、<动>实行；做
<例句：君子寡欲则不役于物，可以直道而行。>
58、<名>动作；行动；举动
<例句：大行不顾细谨。>
59、<名>品行
<例句：其志洁，其行廉。>
60、<副>将；即将
<例句：善万物之得时，感吾生之行休。>
61、<量>遍；次
<例句：客至未尝不置酒，或三行五行。>
62、<名>道路
<例句：遵彼微行。>
63、<名>行列；队伍
<例句：凌余阵兮躐余行。>
64、<名>辈；辈分
<例句：汉天子，我丈人行也。>
65、<量>指成行的事物
<例句：出门登车去，涕落百余行。>
",
1444,2980,君子所不可及者，其唯人之所不见乎！《诗》云：“相在尔室，【尚】不愧于屋漏,尚,"1、<动>尊崇；崇尚；爱好
<例句：臣欲使士大夫尊尚武勇。>
<例句：宣德间，宫中尚促织之戏。>
2、<动>高出；超出
<例句：好仁者无以尚之。>
3、<动>与地位比自己高的人婚配
<例句：平阳侯曹寿尚武帝妹阳信长公主。>
4、<形>自高自大
<例句：虽才高于世，而无骄尚之情。>
5、<副>尚且
<例句：臣以为布衣之交尚不相欺，况大国乎？>
6、<副>还
<例句：盖余所至，比好游者尚不能十一，然视其左右，来而记之者已少。>
",
