,sentences,words,meanings,labels
0,修身则道立，尊贤则不【惑】，亲亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,惑,"1、huò<形>疑惑；困惑
<例句：师者，所以传道受业解惑也。>
<例句：惑主败法，以乱土民。>
",1
1,修身则道立，尊贤则不惑，【亲】亲则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,亲,"1、<名>父母
<例句：冯公有亲乎?>
2、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
3、<名>亲人；亲族
<例句：外无期功强近之亲。>
4、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
5、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
6、<名>父母
<例句：冯公有亲乎?>
7、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
8、<名>亲人；亲族
<例句：外无期功强近之亲。>
9、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
10、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
11、<名>父母
<例句：冯公有亲乎?>
12、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
13、<名>亲人；亲族
<例句：外无期功强近之亲。>
14、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
15、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
",4
2,修身则道立，尊贤则不惑，亲【亲】则诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,亲,"1、<名>父母
<例句：冯公有亲乎?>
2、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
3、<名>亲人；亲族
<例句：外无期功强近之亲。>
4、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
5、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
6、<名>父母
<例句：冯公有亲乎?>
7、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
8、<名>亲人；亲族
<例句：外无期功强近之亲。>
9、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
10、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
11、<名>父母
<例句：冯公有亲乎?>
12、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
13、<名>亲人；亲族
<例句：外无期功强近之亲。>
14、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
15、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
",3
3,修身则道立，尊贤则不惑，亲亲【则】诸父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",1
4,修身则道立，尊贤则不惑，亲亲则【诸】父昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,诸,"1、<形>众；各个
<例句：诸郡县苦秦吏者，皆刑其长吏。>
2、兼词，用于句中，相当于“之于”
<例句：或取诸怀抱，晤言一室之内。>
3、兼词，用于句末，相当于“之乎”
<例句：不识有诸？>
4、<代>相当于“之”
<例句：王如改诸，则心反予。>
",1
5,修身则道立，尊贤则不惑，亲亲则诸【父】昆弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,父,"1、<名>父亲
<例句：父子妻子不相见。>
2、<名>对男性长辈的通称
<例句：楚左尹项伯者，项羽季父也。>
<例句：迨诸父异爨，内外多置小门。>
3、<名>从事某种职业或劳动的男子
<例句：渔父见而问之。>
4、<名>古代对男子的美称
<例句：昔尼父之在陈兮，有‘归与’之叹音。>
<例句：长乐王回深父，余弟安国平、安上纯父。>
5、<名>父亲
<例句：父子妻子不相见。>
6、<名>对男性长辈的通称
<例句：楚左尹项伯者，项羽季父也。>
<例句：迨诸父异爨，内外多置小门。>
7、<名>从事某种职业或劳动的男子
<例句：渔父见而问之。>
8、<名>古代对男子的美称
<例句：昔尼父之在陈兮，有‘归与’之叹音。>
<例句：长乐王回深父，余弟安国平、安上纯父。>
",2
6,修身则道立，尊贤则不惑，亲亲则诸父【昆】弟不怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,昆,"1、<名>兄长；哥哥
<例句：乃致其父母昆弟而誓之。>
2、<名>后裔；子孙
<例句：并方轨前秀，垂范后昆。>
3、<形>诸；群；一应的
<例句：草木昆虫，咸得其所。>
",1
7,修身则道立，尊贤则不惑，亲亲则诸父昆弟【不】怨，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",2
8,修身则道立，尊贤则不惑，亲亲则诸父昆弟不【怨】，敬大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,怨,"1、<动>怨恨
<例句：其声呜呜然，如怨如慕，如泣如诉。>
2、<动>埋怨；责备
<例句：羌笛何须怨杨柳。>
3、<名>怨恨
<例句：构怨于诸侯。>
",2
9,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，【敬】大臣则不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,敬,"1、<形>严肃；慎重
<例句：君子敬而无失，与人恭而有礼。>
2、<动>严肃慎重地对待
<例句：忧懈台则思慎始而敬终。>
3、<动>尊敬；敬重
<例句：北虽貌敬，实则愤怒。>
4、<名>敬意
<例句：严大国之威以修敬也。>
5、<形>恭敬
<例句：公子使客斩其仇头，敬进如姬。>
",3
10,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣【则】不眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",1
11,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则【不】眩，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",2
12,修身则道立，尊贤则不惑，亲亲则诸父昆弟不怨，敬大臣则不【眩】，体群臣则士之报礼重，子庶民则百姓劝，来百工则财用足，柔远人则四方归之，怀诸侯则天下畏之,眩,"1、<形>眼花；看不清楚
<例句：秦王目眩良久。>
<例句：使人眩于名实，不知所守。>
2、<动>通“炫”，炫耀
<例句：宜加敬重，以眩远近。>
<例句：幻>
<例句：以大鸟卵及黎轩善眩人，献与汉。>
",1
