句子,字,释义,例子,正确选项（填序号）：,,
【天】命之谓性，率性之谓道，修道之谓教,天,1、<名>天空,<例句：是日也，天朗气清，惠风和畅。>,4,,
,,,<例句：其容清明，天高日晶。>,,,
,,,<例句：天似穹庐，笼盖四野。>,,,
,,2、<名>天气；气候,<例句：可怜身上衣正单，心忧炭贱愿天寒。>,,,
,,3、<名>自然；本性,<例句：依乎天理，批大郤，导大窾。>,,,
,,4、<名>古代人们想像中万事万物的主宰者,<例句：秦违蹇叔而以贪勤民，天奉我也。>,,,
,,,<例句：隘而不列，天赞我也。>,,,
,,,<例句：此天亡我也，非战之罪也。>,,,
,,5、<名>人们赖以生存的人物,<例句：王者以民人为天，而民人以食为天。>,,,
天【命】之谓性，率性之谓道，修道之谓教,命,1、<动>差使；命令,<例句：或命巾车，或棹孤舟。>,2,,
,,2、<名>命令,<例句：臣以供养无主，辞不赴命。>,,,
,,3、<名>命运；天命,<例句：大命将泛，莫之振救。>,,,
,,,<例句：死生有命，富贵在天。>,,,
,,4、<名>生命,<例句：母孙二人，更相为命。>,,,
,,5、<动>命名,<例句：凡六百一十六言，命曰《琵琶行》。>,,,
,,6、<动>任用,<例句：天子疏爵以命之。>,,,
天命【之】谓性，率性之谓道，修道之谓教,之,1、指示代词，表近指。可译为"这"，通常作复指性定语。,<例句：均之二策。>,4,,
,,2、之间，可译为"的"，有的可不译。,<例句：若能以吴、越之众与中国抗衡。>,,,
,,3、和补语之间，可译为"得"。,<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>,,,
,,4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，"之"用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。,<例句：师道之不传也久矣！欲人之无惑也难矣！>,,,
,,,<例句：悍吏之来吾乡，叫嚣乎东西。>,,,
,,,<例句：孤之有孔明，犹鱼之有水也。>,,,
,,5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。,<例句：顷之，烟炎张天。>,,,
,,,<例句：毛先生以三寸之舌，强于百万之师。>,,,
,,,<例句：久之，目似瞑，意暇甚>,,,
天命之【谓】性，率性之谓道，修道之谓教,谓,1、<动>告诉；对……说,<例句：请往谓项王，言沛公不敢项王也。>,3,,
,,2、<动>说,<例句：因得观所谓石钟山者。>,,,
,,3、<动>叫做；称为,<例句：褒禅山亦谓之华山。>,,,
,,4、<动>以为；认为,<例句：愚谓大计不如迎之。>,,,
,,5、<动>是；说的是,<例句：太守谓谁？>,,,
天命之谓【性】，率性之谓道，修道之谓教,性,1、<名>人的本性；生性,<例句：吾性不喜华靡。>,1,,
,,2、<名>事物的本质特点,<例句：此物性之不同也。>,,,
,,3、<名>性格；脾气,<例句：人见我性儿不好。>,,,
天命之谓性，【率】性之谓道，修道之谓教,率,2、<动>遵循；遵从,<例句：此吾所以敢率性就死不顾汝也。>,1,,
,,3、<动>率领；带领,<例句：遂率子孙荷担者三夫。>,,,
,,4、<副>大概；大致,<例句：率皆递有变迁。>,,,
,,5、<副>一概；都,<例句：六国互丧，率赂秦耶。>,,,
,,6、<名>一定的标准和比率,<例句：有军功者，各以其率受上爵。>,,,
天命之谓性，率【性】之谓道，修道之谓教,性,1、<名>人的本性；生性,<例句：吾性不喜华靡。>,1,,
,,2、<名>事物的本质特点,<例句：此物性之不同也。>,,,
,,3、<名>性格；脾气,<例句：人见我性儿不好。>,,,
天命之谓性，率性【之】谓道，修道之谓教,之,1、指示代词，表近指。可译为"这"，通常作复指性定语。,<例句：均之二策。>,4,,
,,2、之间，可译为"的"，有的可不译。,<例句：若能以吴、越之众与中国抗衡。>,,,
,,3、和补语之间，可译为"得"。,<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>,,,
,,4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，"之"用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。,<例句：师道之不传也久矣！欲人之无惑也难矣！>,,,
,,,<例句：悍吏之来吾乡，叫嚣乎东西。>,,,
