,Unnamed: 0,句子,字,释义,正确选项（填序号）：
1408,1408,或生而知之，或学而知之，或困【而】知之，及其知之，一也,而,"1、表示并列关系。
<例句：蟹六跪而二螯，非蛇鳝之穴无可寄托者>
<例句：剑阁峥嵘而崔嵬，一夫当关，万夫莫开>
<例句：北救赵而西却秦，此五霸之伐也>
2、表示递进关系。
<例句：君子博学而日参省乎己。>
<例句：楚怀王贪而信张仪，遂绝齐>
<例句：回视日观以西峰，或得日，或否，绛皜驳色，而皆若偻>
<例句：以其求思之深而无不在也>
3、表示承接关系。
<例句：故舍汝而旅食京师，以求斗斛之禄>
<例句：置之地，拔剑撞而破之。>
<例句：积善成德，而神明自得，圣心备焉。>
<例句：人非生而知之者，孰能无惑>
4、表示转折关系。
<例句：青，取之于蓝，而青于蓝>
<例句：有如此之势，而为秦人积威之所劫>
<例句：信也，吾兄之盛德而夭其嗣乎>
5、表示假设关系。
<例句：诸君而有意，瞻予马首可也。>
<例句：死而有知，其几何离>
<例句：锲而不舍，金石可镂。>
<例句：人而无信，不知其可也。>
6、表示修饰关系。
<例句：吾尝跂而望矣，不如登高之博见也>
<例句：填然鼓之，兵刃既接，弃甲曳兵而走>
<例句：项王按剑而跽曰：""客何为者？"">
7、表示因果关系。
<例句：余亦悔其随之而不得极夫游之乐也>
<例句：表恶其能而不用也>
<例句：小人不知天命而不畏也。>
8、表示目的关系。
<例句：缦立远视，而望幸焉>
<例句：籍吏民，封府库，而待将军>
<例句：吾恂恂而起。>
9、代词。第二人称，一般作定语，译为""你的""，偶尔也作主语，译为""你""。
<例句：而翁长铨，迁我京职，则汝朝夕侍母。>
10、相当于“以”，表范围。
<例句：形而上者谓之道，形而下者谓之器>
11、表反问语气，相当于“岂”。
<例句：为仁由己，而由人乎哉>
12、动词。同“如”，好像，如同。
<例句：溺死者千有余人军惊而坏都舍。>
13、复音虚词""而已""。放在句末，表示限止的语气助词，相当于""罢了""。
<例句：一人、一桌、一椅、一扇、一抚尺而已。>
<例句：闻道有先后，术业有专攻，如是而已。>
",2
1018,1018,宗庙飨之，子孙保【之】,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",1
651,651,"庸德之行，庸言之谨；有所不足，不敢不勉，【有】余不敢尽；言顾行，行顾言，君子胡不慥慥尔！”
",有,"1、<动>与“无”相对
<例句：有朋自远方来，不亦乐乎。>
2、<动>占有
<例句：沛公欲王关中，使子婴为相，珍宝尽有之。>
3、<动>掌握
<例句：有道之士，贵以近知远。>
4、<形>富有
<例句：礼生于有而废于无。>
5、<名>收获；出产的东西
<例句：退而甘食其土之有。>
6、<连>或者
<例句：故君子有不战，战则必胜。>
7、<助>用在动词前，以助语气
<例句：干将发硎，有作其芒。>
8、<副>通“又”，表示进一层
<例句：虽有槁暴，不复挺者，輮使之然也。>
9、<连>通“又”，用于整数与零数之间
<例句：臣密今年四十有四。>
10、<动>与“无”相对
<例句：有朋自远方来，不亦乐乎。>
11、<动>占有
<例句：沛公欲王关中，使子婴为相，珍宝尽有之。>
12、<动>掌握
<例句：有道之士，贵以近知远。>
13、<形>富有
<例句：礼生于有而废于无。>
14、<名>收获；出产的东西
<例句：退而甘食其土之有。>
15、<连>或者
<例句：故君子有不战，战则必胜。>
16、<助>用在动词前，以助语气
<例句：干将发硎，有作其芒。>
17、<副>通“又”，表示进一层
<例句：虽有槁暴，不复挺者，輮使之然也。>
18、<连>通“又”，用于整数与零数之间
<例句：臣密今年四十有四。>
",1
303,303,子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，中庸不可能【也】,也,"1、表示判断语气的。
<例句：死生，昼夜事也。>
<例句：吾师肺肝，皆铁石所铸造也。>
2、表示肯定语气的。
<例句：昔人云：""将以有为也。"">
<例句：吾上恐负朝廷，下恐愧吾师也。>
3、就是有否定词的句子，仍然是一种表否定的肯定。
<例句：众曰：""若所为诚快，然使君冤未白，犹无益也。"">
4、表示疑问语气的。
<例句：吾王庶几无疾病与，何以能鼓乐也？>
<例句：公子畏死邪？何泣也？>
5、表示感叹语气的。
<例句：吾王之好田猎，夫何使我至于此极也！>
<例句：君美甚，徐公何能及君也！>
6、用在句中，表示停顿，以舒缓语气。
<例句：当余之从师也，负箧曳屣，行深山巨谷中……>
<例句：师道之不传也久矣。>
",3
1127,1127,【宗】庙之礼，所以序昭穆也,宗,"1、<名>祖宗；宗庙
<例句：受命于神宗。>
2、<名>祖宗；祖先
<例句：若不获命，而使嗣宗职。>
3、<名>宗族
<例句：其宗灭于绛。>
4、<动>祭祀
<例句：宗庙会同，非诸侯而何？>
5、<动>遵奉；尊崇
<例句：孔子布衣，传十余世，学者宗之。>
6、<动>归往
<例句：江汉朝宗于海。>
7、<名>本源
<例句：将反于宗。>
",1
979,979,武【王】缵大王、王季、文王之绪，一戎衣而有天下,王,"1、<名>帝王；君主
<例句：先王之所以为法者，何也?>
2、<名>秦汉以后帝王称皇帝，“王”成为封爵最高一级
<例句：王侯将相，宁有种乎。>
3、<动>朝见王
<例句：莫敢不来王。>
4、<动>称王；统治天下
<例句：沛公欲王关中。>
5、<名使动>封……为王；拥戴……为王
<例句：先破秦入咸阳者王之。>
6、<名>帝王；君主
<例句：先王之所以为法者，何也?>
7、<名>秦汉以后帝王称皇帝，“王”成为封爵最高一级
<例句：王侯将相，宁有种乎。>
8、<动>朝见王
<例句：莫敢不来王。>
9、<动>称王；统治天下
<例句：沛公欲王关中。>
10、<名使动>封……为王；拥戴……为王
<例句：先破秦入咸阳者王之。>
",1
1214,1214,"【明】乎郊社之礼、禘尝之义，治国其如示诸掌乎！”
",明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",3
1360,1360,【曰】：君臣也，父子也，夫妇也，昆弟也，朋友之交也，五者天下之达道也,曰,"1、<动>说
<例句：君子曰：学不可以已。>
2、<动>称为
<例句：齐有处士曰钟离子。>
3、<动>是，举例时用
<例句：按诸五人，曰颜佩伟，杨念如……>
4、<动>为
<例句：先帝称之曰能。>
5、<助>用于句首
<例句：曰为改岁，入此室处。>
",1
1078,1078,三年之丧，达乎天【子】,子,"1、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
2、<名>孩子
<例句：率妻子邑人来此绝境。>
3、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
4、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
5、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
6、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
7、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
8、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
9、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
10、<名>孩子
<例句：率妻子邑人来此绝境。>
11、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
12、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
13、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
14、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
15、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
16、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
17、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
18、<名>孩子
<例句：率妻子邑人来此绝境。>
19、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
20、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
21、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
22、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
23、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
24、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
",2
790,790,兄弟既翕，和乐【且】耽,且,"1、表示递进关系，并列关系。
<例句：彼所将中国人不过十五六万，且已久疲。……>
<例句：且将军大势可以拒操者，长江也……>
<例句：河水清且涟猗。>
2、有时相当于""尚且""。先让步，后推进一层。
<例句：臣死且不避，卮酒安足辞！>
<例句：古之圣人，……犹且从师而问焉……>
3、副词。相当于""将""""将要""，""暂且""""姑且""。
<例句：不出，火且尽。>
<例句：驴一鸣，虎大骇，远遁，以为且噬已也，甚恐。>
<例句：存者且偷生，死者长已矣。>
<例句：卿但暂还家，吾今且报府。>
",1
