,Unnamed: 0,句子,字,释义,正确选项（填序号）：
896,2432,”其此之谓与！子曰：“愚而好自用，贱而好自专，生乎今之世，反【古】之道：如此者，灾及其身者也,古,"1、<名>古代
<例句：今之乐犹古之乐也。>
2、<形>历时长焦的；古老的
<例句：从数骑出，微行入古寺。>
",1
817,2353,故君子【尊】德性而道问学,尊,"1、<名>酒器
<例句：合盖隆起，形似酒尊。>
<例句：人生如梦，一尊还酹江月。>
<例句：樽>
<例句：罇>
2、<形>尊贵；高贵
<例句：岂先贱而后尊贵者乎？>
<例句：位尊而无功，奉厚而无劳。>
<例句：履至尊而制六合。>
3、<动>遵奉；尊崇
<例句：臣欲使士大夫尊尚武勇。>
<例句：尊五美，屏四恶，斯可以从政矣。>
4、<动>尊敬；敬重
<例句：此四君者，皆明智而忠信，宽厚而爱人，尊贤而爱士。>
5、<量>
<例句：殿上塑着一尊金甲山神。>
",3
446,1982,唯天下至诚，为能尽其性；能尽其性，则能尽人之性；能尽人之性，则能尽物之性；能尽物之性，则可以赞天地之化育；可以赞天地之化育，则可以与【天】地参矣,天,"1、<名>天空
<例句：是日也，天朗气清，惠风和畅。>
<例句：其容清明，天高日晶。>
<例句：天似穹庐，笼盖四野。>
2、<名>天气；气候
<例句：可怜身上衣正单，心忧炭贱愿天寒。>
3、<名>自然；本性
<例句：依乎天理，批大郤，导大窾。>
4、<名>古代人们想像中万事万物的主宰者
<例句：秦违蹇叔而以贪勤民，天奉我也。>
<例句：隘而不列，天赞我也。>
<例句：此天亡我也，非战之罪也。>
5、<名>人们赖以生存的人物
<例句：王者以民人为天，而民人以食为天。>
",1
682,2218,今夫地，一撮【土】之多,土,"1、<名>泥土
<例句：积土成山，风雨兴焉。>
2、<名>土地
<例句：退而甘食其土之有，以尽吾齿。>
3、<名>国土；领土；乡土
<例句：燕赵之君，始有远略，能守其土。>
4、<形>本地的；当地的
<例句：且五方土音，乡俗好尚习见习闻。>
5、<名>地方
<例句：益州险塞，沃野千里，天府之土。>
",2
1186,2722,唯天下至【圣】为能聪明睿知，足以有临也；宽裕温柔，足以有容也；发强刚毅，足以有执也；齐庄中正，足以有敬也；文理密察，足以有别也,圣,"1、<形>通达事理，才智非凡
<例句：以管仲之圣而隰朋之智，至其所不知，不难师于老马与蚁。>
2、<名>具有最高智慧和道德的人
<例句：是故圣益圣，愚益愚。>
3、<名>在某方面最杰出的人；精通某种技艺或业务的人
<例句：诗圣>
<例句：棋圣>
4、<名>封建时代对当时的王朝或帝王的尊称
<例句：诚宜开张圣听。>
",2
751,2287,《诗》曰：“惟天之命，于穆不已！”盖曰天之【所】以为天也,所,"1、经常放在动词前，同动词结合，组成""所""字结构。""所""字结构是名词性短语，表示""所……的人""、""所……的事物""、""所……的情况""等。
<例句：于众人广坐之中，不宜有所过，今公子故过之。>
<例句：故余虽愚，卒获有所闻。>
<例句：余在患难中，间以诗记所遭。>
2、""所""和动词结合，后面再有名词性结构，则所字结构起定语的作用。
<例句：夜则以兵围所寓舍。>
<例句：臣所过屠者朱亥，此子贤者，世莫能知，故隐屠闻耳。>
3、在有些句子中，""为""和""所""呼应，组成""为……所……""的格式，表示被动。
<例句：贾家庄几为巡徼所陵迫死。>
<例句：嬴闻如姬父为人所杀。>
4、表示原因的。
<例句：亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。>
<例句：吾所以为此者，以先国家之急而后私仇也。>
<例句：臣所以去亲戚而事君者，徒慕君之高义也。>
<例句：所以遣将守关者，备他盗之出入与非常也。>
5、表示手段或凭借的。
<例句：吾所以待侯生者备矣，……>
<例句：师者，所以传道受业解惑也。>
6、【所谓】所说的。
<例句：此所谓战胜于朝廷。>
<例句：非吾所谓传其道解其惑者也。>
7、到处。
<例句：石之铿然有声音者，所在皆是也。>
8、所在之处，处所。
<例句：原来有这等一个所在，且回衙去>
<例句：急趋之，折过墙隅，迷其所在。>
",5
711,2247,今夫山，一卷石之多，及其【广】大，草木生之，禽兽居之，宝藏兴焉，今夫水，一勺之多，及其不测，鼋、鼍、蛟龙、鱼鳖生焉，货财殖焉,广,"1、<形>宽阔，与“狭”相对
<例句：安得广厦千万间，大庇天下寒士俱欢颜。>
2、<形>宏大
<例句：君子贫穷而志广。>
3、<动>扩大；增广
<例句：必能裨补阙漏，有所广益。>
4、<动>宽心；安慰
<例句：自以为寿不得长，安悼之，乃为赋以自广。>
5、<副>广泛；多余地
<例句：幸可广问讯，不得便相许。>
6、<名>广州的简称
<例句：杂彩三百匹，交广市鲑珍。>
7、<名>春秋时楚国战车建制名，兵画十五辆为一广
8、<形>横
<例句：广袤>
9、<形>通“旷”，空缺，荒废
10、<名>通“圹”，坟墓
<例句：自望其广，则睪如也。>
11、<形>宽阔，与“狭”相对
<例句：安得广厦千万间，大庇天下寒士俱欢颜。>
12、<形>宏大
<例句：君子贫穷而志广。>
13、<动>扩大；增广
<例句：必能裨补阙漏，有所广益。>
14、<动>宽心；安慰
<例句：自以为寿不得长，安悼之，乃为赋以自广。>
15、<副>广泛；多余地
<例句：幸可广问讯，不得便相许。>
16、<名>广州的简称
<例句：杂彩三百匹，交广市鲑珍。>
17、<名>春秋时楚国战车建制名，兵画十五辆为一广
18、<形>横
<例句：广袤>
19、<形>通“旷”，空缺，荒废
20、<名>通“圹”，坟墓
<例句：自望其广，则睪如也。>
",2
464,2000,曲能有诚，诚则形，形则著，著则明，明【则】动，动则变，变则化,则,"1、表示承接关系。一般用来连接两个分句或紧缩复句中的前后两层意思，表示两件事情在时间上、事理上的紧密联系。可译为""就""""便""，或译为""原来是""""已经是""。
<例句：项王曰：""壮士！--赐之卮酒。""则与斗卮酒。>
<例句：故木受绳则直，金就砺则利。>
<例句：徐而察之，则山下皆石穴罅。>
<例句：子灿寐而醒，客则鼾睡炕上矣。>
2、表示假设关系。有的用在前一分句，引出假设的情况，相当于""假使""""如果""；有的用于后面的分句，表示假设或推断的结果，相当于""那么""""就""。
<例句：向吾不为斯役，则久已病矣。>
3、。可译为""就"",或不译。
<例句：位卑则足羞，官盛则近谀。>
<例句：入则孝，出则悌。>
4、表示转折、让步关系。表示意思有转折时，""则""字用在后一分句，可译为""可是""""却""；表示姑且承认一件事，预备下句转入正意时，""则""字用在前一分句。可译为""虽然""""倒是""。
<例句：于其身也，则耻师焉，惑矣。>
<例句：其室则迩，其人甚远。>
5、副词。用在判断句中，起强调和确认作用，可译作""是""""就是""。
<例句：此则岳阳楼之大观也。>
<例句：非死则徙尔。>
",2
1145,2681,辟如天地之无【不】持载，无不覆帱，辟如四时之错行，如日月之代明,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",1
1444,2980,君子所不可及者，其唯人之所不见乎！《诗》云：“相在尔室，【尚】不愧于屋漏,尚,"1、<动>尊崇；崇尚；爱好
<例句：臣欲使士大夫尊尚武勇。>
<例句：宣德间，宫中尚促织之戏。>
2、<动>高出；超出
<例句：好仁者无以尚之。>
3、<动>与地位比自己高的人婚配
<例句：平阳侯曹寿尚武帝妹阳信长公主。>
4、<形>自高自大
<例句：虽才高于世，而无骄尚之情。>
5、<副>尚且
<例句：臣以为布衣之交尚不相欺，况大国乎？>
6、<副>还
<例句：盖余所至，比好游者尚不能十一，然视其左右，来而记之者已少。>
",5
