,sentences,words,meanings,labels
0,大学之道，在【明】明德，在亲民，在止于至善,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",0
1,大学之道，在明明德，在【亲】民，在止于至善,亲,"1、<名>父母
<例句：冯公有亲乎?>
2、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
3、<名>亲人；亲族
<例句：外无期功强近之亲。>
4、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
5、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
6、<名>父母
<例句：冯公有亲乎?>
7、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
8、<名>亲人；亲族
<例句：外无期功强近之亲。>
9、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
10、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
11、<名>父母
<例句：冯公有亲乎?>
12、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
13、<名>亲人；亲族
<例句：外无期功强近之亲。>
14、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
15、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
",0
2,大学之道，在明明德，在亲民，在止【于】至善,于,"1、放在形容词之后，表示比较，一般可译为""比""。有时可译为""胜过""。
<例句：良曰：""长于臣""。>
<例句：冰，水为之，而寒于水。>
2、有时则只是表示对象的性质和状态，可不译。
<例句：非常之谋难于猝发……>
3、""受""等字和它相应。
<例句：或脱身以逃，不能容于远近……>
<例句：臣诚恐见欺于王而负赵……>
<例句：吾不能举全吴之地，十万之众，受制于人……>
4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。
<例句：于是秦王不悦，为击缻。>
<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>
",0
3,知【止】而后有定，定而后能静，静而后能安，安而后能虑，虑而后能得,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",0
4,知止而后有定，定而后能【静】，静而后能安，安而后能虑，虑而后能得,静,"1、<形>静止不动
<例句：浮光跃金，静影成璧。>
2、<形>寂静；安静
<例句：人闲桂花落，夜静春山空。>
3、<形>平静；安定
<例句：神民不违，天下乃静。>
4、<形>安闲；娴雅
<例句：常从容淡静，不好交接俗人。>
",3 0
5,知止而后有定，定而后能静，【静】而后能安，安而后能虑，虑而后能得,静,"1、<形>静止不动
<例句：浮光跃金，静影成璧。>
2、<形>寂静；安静
<例句：人闲桂花落，夜静春山空。>
3、<形>平静；安定
<例句：神民不违，天下乃静。>
4、<形>安闲；娴雅
<例句：常从容淡静，不好交接俗人。>
",3 0
6,知止而后有定，定而后能静，静而后能【安】，安而后能虑，虑而后能得,安,"1、<形>安定;安稳;安宁;安全
<例句：风雨不动安山。>
<例句：审容膝之易安。>
2、<形>安适;安逸
<例句：然后知生于忧患而死于安乐也。>
<例句：予出官二年恬然自安。>
3、<动>养;奉养
<例句：衣食所安弗敢专也必以分人。>
<例句：老者安之朋友信之少者怀之。>
4、<动>抚慰;安抚
<例句：时时为安慰久久莫相忘。>
<例句：若备与彼协心上下齐同则宜抚之安与结盟好。>
5、<形>安心;习惯于
<例句：敬亭亦无所不安。>
6、<动>安置;安放
<例句：离山十里有王平安营。>
",5 0
7,知止而后有定，定而后能静，静而后能安，【安】而后能虑，虑而后能得,安,"1、<形>安定;安稳;安宁;安全
<例句：风雨不动安山。>
<例句：审容膝之易安。>
2、<形>安适;安逸
<例句：然后知生于忧患而死于安乐也。>
<例句：予出官二年恬然自安。>
3、<动>养;奉养
<例句：衣食所安弗敢专也必以分人。>
<例句：老者安之朋友信之少者怀之。>
4、<动>抚慰;安抚
<例句：时时为安慰久久莫相忘。>
<例句：若备与彼协心上下齐同则宜抚之安与结盟好。>
5、<形>安心;习惯于
<例句：敬亭亦无所不安。>
6、<动>安置;安放
<例句：离山十里有王平安营。>
",5 0
8,知止而后有定，定而后能静，静而后能安，安而后能【虑】，虑而后能得,虑,"1、<动>考虑；思虑；打算
<例句：人无远虑，必有近忧。>
2、<名>心思；心意
<例句：心烦虑乱，不知所从。>
3、<动>忧虑；担心
<例句：非夫之物而强假焉，必虑人逼取。>
",0
9,知止而后有定，定而后能静，静而后能安，安而后能虑，【虑】而后能得,虑,"1、<动>考虑；思虑；打算
<例句：人无远虑，必有近忧。>
2、<名>心思；心意
<例句：心烦虑乱，不知所从。>
3、<动>忧虑；担心
<例句：非夫之物而强假焉，必虑人逼取。>
",0
