,Unnamed: 0,句子,字,释义,正确选项（填序号）：
1228,1228,人之有技，若己有之；人之彦【圣】，其心好之，不啻若自其口出,圣,"1、<形>通达事理，才智非凡
<例句：以管仲之圣而隰朋之智，至其所不知，不难师于老马与蚁。>
2、<名>具有最高智慧和道德的人
<例句：是故圣益圣，愚益愚。>
3、<名>在某方面最杰出的人；精通某种技艺或业务的人
<例句：诗圣>
<例句：棋圣>
4、<名>封建时代对当时的王朝或帝王的尊称
<例句：诚宜开张圣听。>
",1
1018,1018,所恶于上，毋以使下，所恶于下，毋以事上；所恶于前，毋以先后；所恶于后，毋以从前；所恶于右，毋以交于左；所恶于左，毋以交于右；此之【谓】絜矩之道,谓,"1、<动>告诉；对……说
<例句：请往谓项王，言沛公不敢项王也。>
2、<动>说
<例句：因得观所谓石钟山者。>
3、<动>叫做；称为
<例句：褒禅山亦谓之华山。>
4、<动>以为；认为
<例句：愚谓大计不如迎之。>
5、<动>是；说的是
<例句：太守谓谁？>
",3
9,9,"大学之道，在明明德，在亲民，在【止】于至善",止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",2
308,308,【瑟】兮僴兮，赫兮喧兮,瑟,"1、sè<名>古代一种弹拨乐器，一般有二十五根弦
",1
299,299,有【斐】君子，如切如磋，如琢如磨,斐,"1、<形>有文采
<例句：文辞斐炳。>
2、<形>轻淡的样子
<例句：斐斐>
<例句：藻丽辞理，斐有光。>
<例句：斐气幕岫，泫泫露盈条。>
",0
905,905,”【宜】兄宜弟，而后可以教国人,宜,"1、<形>适宜；合适
<例句：世易时移，变法宜矣。>
2、<动>应当；应该
<例句：不宜妄自菲薄，引喻失义，以塞忠谏之路也。>
3、<副>大概；也许
<例句：将军擒操，宜在今日。>
4、<副>当然
<例句：宜乎百姓之谓我爱也。>
5、<名>事宜；事情
<例句：悠悠非吾匹，畴昔应俗宜？>
",1 0
867,867,【故】治国在齐其家,故,"1、<名>事故；变故
<例句：今也不幸至于大故。>
<例句：乡园多故，不能不动客子之愁。>
2、<名>缘故；原因
<例句：赵王岂以一璧之故欺秦邪？>
3、<形>旧；旧的；原来的
<例句：此为其故迹，岂信然邪？>
4、<副>旧时；从前
<例句：轩东故尝为厨，人往，从轩前过。>
5、<名>老朋友；旧交情
<例句：若非故人乎？>
<例句：君安与项伯有故？>
6、<形>衰退；衰老
<例句：暮去春来颜色故。>
7、<动>死亡；去世
<例句：目今其祖早故，只有个儿子。>
8、<副>故意；特意
<例句：将尉醉，广故数言欲亡，忿恚尉。>
9、<副>还是；仍然
<例句：大人故嫌迟。>
10、<副>通“固”，本来
<例句：此物故非西产。>
11、<连>所以；因此
<例句：其志洁，故其称物芳。>
",11
434,434,”《诗》曰：“周虽【旧】邦，其命维新,旧,"1、<形>陈旧的；不合时宜的
<例句：孟轲守旧术，不通世务。>
2、<形>从前的；原来的
<例句：兴复汉室，还于旧都。>
3、<副>从前；过去
<例句：江南好，风景旧曾谙。>
4、<名>故交；老交情
<例句：与苍梧太守吴巨有旧，欲往投之。>
5、<名>旧友；老朋友
<例句：亲旧知其如此，或置酒而招之。>
",2
511,511,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；【为】人父，止于慈；与国人交，止于信,为,"1、做。
<例句：谁为大王为此计者。>
<例句：为之，则难者亦易矣；不为，则易者亦难矣。>
2、成为。
<例句：吾令人望其气，皆为龙虎，成五采。>
3、担任。
<例句：陈胜、吴广皆次当行，为屯长。>
<例句：公为都御史，与太监某守辽东。>
4、是，算是。
<例句：如今人方为刀俎，我为鱼肉。>
<例句：中峨冠而多髯者为东坡。>
<例句：若止印三二本，未为简易。>
5、通""谓""。可译为""说""。
<例句：孔子不能决也，两小儿笑曰：“孰为汝多知乎！”>
6、表被动。
<例句：吾属今为之虏矣。>
<例句：身客死于秦，为天下笑。>
<例句：焦仲卿妻刘氏，为促卿母所遣。>
7、给，替。
<例句：疱丁为文惠君解牛。>
<例句：旦日飨士卒，为击破沛公军！>
<例句：此人一一为具言所闻。（介词后面省略宾语""之""，""为之具言所闻""即给桃花园中的人详细地说出所听说的事情。>
8、向，对。
<例句：如姬为公子泣。>
<例句：媪之送燕后也，持其踵为之泣。>
9、因为。
<例句：百姓之不见保，为不用恩焉。>
<例句：盘庚不为怨者故改其度。>
10、语气词：位于句尾，表疑问、感叹、反诘，可译为""呢""。
<例句：何故怀瑾握瑜，而自令见放为？>
<例句：何辞为？>
11、介词：位于名词前，指某一事物通过某种目的成为另一种专有事物，可译为“作为”。
<例句：吕不韦乃以五百金与子楚，为进用，结宾客。>
",11
1449,1449,孟献子曰：“畜马乘不察于鸡豚，伐冰之家不畜牛羊，百乘之【家】不畜聚敛之臣,家,"1、<名>住房；住所
<例句：家徒四壁立。>
2、<名>家庭；家族
<例句：每责一头，辄顷数家之产。>
3、<形>自家的；本家的
<例句：家君作宰，路出名区。>
4、<名>人家；人户
<例句：秦王购之金千斤，邑万家。>
5、<形>家中的
<例句：非为织作迟，君家妇难为。>
6、<动>定居；安家
<例句：畴昔家上京，六载去还归。>
7、<名>家产；家业
<例句：皆没其家而迁之蜀。>
8、<名>奴隶社会中卿大夫的封邑
<例句：丘也闻有国有家者，不患贫而患不均。>
9、<名>朝廷；官府
<例句：当横行天下，为汉家除残去秽。>
10、<动>把……居为一家所有
<例句：三王家天下。>
11、<形>家养的；驯化的
<例句：野鸭殊家鸭，离群忽远飞。>
12、<名>学术或政治派别
<例句：于是废先王之道，焚百家之言。>
13、<名>有专长或从事某种职业的人
<例句：吾常见笑于大方之家。>
<例句：农家少闲月。>
14、<量>家；户
<例句：且说登州山下有一家猎户。>
15、<助>自称、人称的语尾
<例句：后生家每临事，辄曰‘吾不会做’，此大谬也。>
16、<名>住房；住所
<例句：家徒四壁立。>
17、<名>家庭；家族
<例句：每责一头，辄顷数家之产。>
18、<形>自家的；本家的
<例句：家君作宰，路出名区。>
19、<名>人家；人户
<例句：秦王购之金千斤，邑万家。>
20、<形>家中的
<例句：非为织作迟，君家妇难为。>
21、<动>定居；安家
<例句：畴昔家上京，六载去还归。>
22、<名>家产；家业
<例句：皆没其家而迁之蜀。>
23、<名>奴隶社会中卿大夫的封邑
<例句：丘也闻有国有家者，不患贫而患不均。>
24、<名>朝廷；官府
<例句：当横行天下，为汉家除残去秽。>
25、<动>把……居为一家所有
<例句：三王家天下。>
26、<形>家养的；驯化的
<例句：野鸭殊家鸭，离群忽远飞。>
27、<名>学术或政治派别
<例句：于是废先王之道，焚百家之言。>
28、<名>有专长或从事某种职业的人
<例句：吾常见笑于大方之家。>
<例句：农家少闲月。>
29、<量>家；户
<例句：且说登州山下有一家猎户。>
30、<助>自称、人称的语尾
<例句：后生家每临事，辄曰‘吾不会做’，此大谬也。>
31、<名>住房；住所
<例句：家徒四壁立。>
32、<名>家庭；家族
<例句：每责一头，辄顷数家之产。>
33、<形>自家的；本家的
<例句：家君作宰，路出名区。>
34、<名>人家；人户
<例句：秦王购之金千斤，邑万家。>
35、<形>家中的
<例句：非为织作迟，君家妇难为。>
36、<动>定居；安家
<例句：畴昔家上京，六载去还归。>
37、<名>家产；家业
<例句：皆没其家而迁之蜀。>
38、<名>奴隶社会中卿大夫的封邑
<例句：丘也闻有国有家者，不患贫而患不均。>
39、<名>朝廷；官府
<例句：当横行天下，为汉家除残去秽。>
40、<动>把……居为一家所有
<例句：三王家天下。>
41、<形>家养的；驯化的
<例句：野鸭殊家鸭，离群忽远飞。>
42、<名>学术或政治派别
<例句：于是废先王之道，焚百家之言。>
43、<名>有专长或从事某种职业的人
<例句：吾常见笑于大方之家。>
<例句：农家少闲月。>
44、<量>家；户
<例句：且说登州山下有一家猎户。>
45、<助>自称、人称的语尾
<例句：后生家每临事，辄曰‘吾不会做’，此大谬也。>
46、<名>住房；住所
<例句：家徒四壁立。>
47、<名>家庭；家族
<例句：每责一头，辄顷数家之产。>
48、<形>自家的；本家的
<例句：家君作宰，路出名区。>
49、<名>人家；人户
<例句：秦王购之金千斤，邑万家。>
50、<形>家中的
<例句：非为织作迟，君家妇难为。>
51、<动>定居；安家
<例句：畴昔家上京，六载去还归。>
52、<名>家产；家业
<例句：皆没其家而迁之蜀。>
53、<名>奴隶社会中卿大夫的封邑
<例句：丘也闻有国有家者，不患贫而患不均。>
54、<名>朝廷；官府
<例句：当横行天下，为汉家除残去秽。>
55、<动>把……居为一家所有
<例句：三王家天下。>
56、<形>家养的；驯化的
<例句：野鸭殊家鸭，离群忽远飞。>
57、<名>学术或政治派别
<例句：于是废先王之道，焚百家之言。>
58、<名>有专长或从事某种职业的人
<例句：吾常见笑于大方之家。>
<例句：农家少闲月。>
59、<量>家；户
<例句：且说登州山下有一家猎户。>
60、<助>自称、人称的语尾
<例句：后生家每临事，辄曰‘吾不会做’，此大谬也。>
",2
