,sentences,words,meanings,labels
0,大【学】之道，在明明德，在亲民，在止于至善,学,"1、<动>学习
<例句：学而时习之，不亦说乎。>
2、<名>学问；知识
<例句：人之为学有难易乎。>
3、<名>学校
<例句：今诸生学于太学。>
",2
1,大学【之】道，在明明德，在亲民，在止于至善,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",2
2,大学之道，【在】明明德，在亲民，在止于至善,在,"1、<动>存在
<例句：强秦之所以不敢加兵于赵者，徒以吾两人在也。>
2、<动>居于；处于
<例句：君之病在肠胃。>
<例句：以相如功大，拜为上卿，位在廉颇之右。>
3、<动>在于；取决于
<例句：驽马十驾，功在不会舍。>
4、<介>在
<例句：横柯上蔽，在昼犹昏。>
<例句：要留青白在人间。>
",3
3,大学之道，在【明】明德，在亲民，在止于至善,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",0
4,大学之道，在明【明】德，在亲民，在止于至善,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",6
5,大学之道，在明明德，【在】亲民，在止于至善,在,"1、<动>存在
<例句：强秦之所以不敢加兵于赵者，徒以吾两人在也。>
2、<动>居于；处于
<例句：君之病在肠胃。>
<例句：以相如功大，拜为上卿，位在廉颇之右。>
3、<动>在于；取决于
<例句：驽马十驾，功在不会舍。>
4、<介>在
<例句：横柯上蔽，在昼犹昏。>
<例句：要留青白在人间。>
",3
6,大学之道，在明明德，在【亲】民，在止于至善,亲,"1、<名>父母
<例句：冯公有亲乎?>
2、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
3、<名>亲人；亲族
<例句：外无期功强近之亲。>
4、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
5、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
6、<名>父母
<例句：冯公有亲乎?>
7、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
8、<名>亲人；亲族
<例句：外无期功强近之亲。>
9、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
10、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
11、<名>父母
<例句：冯公有亲乎?>
12、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
13、<名>亲人；亲族
<例句：外无期功强近之亲。>
14、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
15、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
",0
7,大学之道，在明明德，在亲【民】，在止于至善,民,"1、<名>古指奴隶，泛指庶民百姓
<例句：古者有四民：有士民，有商民，有农民，有工民。>
2、<名>人
<例句：上古之世，……民食果蓏蜯蛤，腥臊恶臭而伤腹胃，民多疾病。>
",1
8,大学之道，在明明德，在亲民，【在】止于至善,在,"1、<动>存在
<例句：强秦之所以不敢加兵于赵者，徒以吾两人在也。>
2、<动>居于；处于
<例句：君之病在肠胃。>
<例句：以相如功大，拜为上卿，位在廉颇之右。>
3、<动>在于；取决于
<例句：驽马十驾，功在不会舍。>
4、<介>在
<例句：横柯上蔽，在昼犹昏。>
<例句：要留青白在人间。>
",3
9,大学之道，在明明德，在亲民，在【止】于至善,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",2
