,word,w_meaning_index,a,b
0,祚,8,往者王莽作逆，汉祚中缺。,霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。龙漦帝后，识夏庭之遽衰。
1,祚,8,霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。龙漦帝后，识夏庭之遽衰。,往者王莽作逆，汉祚中缺。
2,祚,9,其奸回昏乱，虽大，轻也。天祚明德，有所止。成王定鼎于郏鄏，卜世三十，卜年七百，天所命也。,天地祚之，子孙众多。
3,祚,10,门衰祚薄，晚有儿息。,臣少多疾病，九岁不行，零丁孤苦，至于成立。既无伯叔，终鲜兄弟，门衰祚薄，晚有儿息。外无期功强近之亲，内无应门五尺之僮，茕茕孑立，形影相吊。
4,祚,10,臣少多疾病，九岁不行，零丁孤苦，至于成立。既无伯叔，终鲜兄弟，门衰祚薄，晚有儿息。外无期功强近之亲，内无应门五尺之僮，茕茕孑立，形影相吊。,门衰祚薄，晚有儿息。
5,胙,12,四时致宗庙之胙。,齐桓下拜受胙夏，会于葵丘，寻盟，且修好，礼也。王使宰孔赐齐侯胙，曰：天子有事于文武，使孔赐伯舅胙。齐侯将下拜。
6,胙,12,齐桓下拜受胙夏，会于葵丘，寻盟，且修好，礼也。王使宰孔赐齐侯胙，曰：天子有事于文武，使孔赐伯舅胙。齐侯将下拜。,四时致宗庙之胙。
7,坐,15,与其坐而待亡，孰若起而拯之。,谨陈其事如左：高帝明并日月，谋臣渊深，然涉险被创，危然后安。今陛下未及高帝，谋臣不如良、平，而欲以长策取胜，坐定天下：此臣之未解一也。刘繇、王朗，各据州郡，论安言计，动引圣人，群疑满腹，众难塞胸。
8,坐,15,谨陈其事如左：高帝明并日月，谋臣渊深，然涉险被创，危然后安。今陛下未及高帝，谋臣不如良、平，而欲以长策取胜，坐定天下：此臣之未解一也。刘繇、王朗，各据州郡，论安言计，动引圣人，群疑满腹，众难塞胸。,与其坐而待亡，孰若起而拯之。
9,坐,16,项王则受璧，置之坐上。,郑人有欲买履者一些书上写郑人有且置履者，先自度其足，而置之其坐。至之市，而忘操之。
10,坐,17,西村渡口人烟晚，坐见渔舟两两归。,坐定，公子从车骑，虚左，自迎夷门侯生。侯生摄敝衣冠，直上载公子上坐，不让，欲以观公子。公子执辔愈恭。
11,坐,17,坐定，公子从车骑，虚左，自迎夷门侯生。侯生摄敝衣冠，直上载公子上坐，不让，欲以观公子。公子执辔愈恭。,西村渡口人烟晚，坐见渔舟两两归。
