,words,words_meaning,sentences
0,酢,客人用酒回敬主人,"['众宾立饮，不酢而降。', '，众芳草立饮，不酢而降。，']"
1,做,充当；充任,"['推开看里面时，七八间草屋做着仓廒。', '，推开看里面时，七八间膜做着仓廒。，', '，推开看里面时，七八间草屋做着所在廒。，', '，推开看里面时，七八间还草屋做着仓廒。，', '，推开看里面时，七八间草屋做着肆仓廒。，']"
2,做,当；为,"['天也，你错勘贤愚枉做天。', '，天也，你错勘贤愚枉做妍。，', '，天也，你错勘亭亭贤愚枉做天。，']"
3,做,成为；变成,"['宫阙万间都做了土。', '，变化万间都做了土。，', '，宫阙万间都做了周身。，', '，夙夜宫阙万间都做了土。，', '，宫阙万间都做了浑土。，']"
4,做,使，多用于假设语气,"['便做春江都是泪，流尽，许多愁。', '，有意做春江都是泪，流尽，许多愁。', '，便做毛角都是泪，流尽，许多愁。', '，便做春江都是宫，流尽，许多愁。', '，便做春江都是大约泪，流尽，许多愁。']"
5,座,座位,['座中泣下谁最多？']
6,座,器物的底盘,"['至沙洋堡，立_座十有二。', '，至江浙，立_座十有二。，', '，至从此沙洋堡，立_座十有二。，']"
7,座,在场的；坐着的人,"['满座寂然，无敢哗者。', '，满座敌国，无敢哗者。，', '，满座一时寂然，无敢哗者。，']"
8,祚,皇位,"['往者王莽作逆，汉祚中缺。', '霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之将尽。龙漦帝后，识夏庭之遽衰。', '，往者后王莽作逆，汉祚中缺。，', '，往者王莽作吝，汉祚中缺。，', '霍子孟之不作，朱虚侯之已亡。燕啄皇孙，知汉祚之笼尽。龙漦帝后，识夏庭之遽衰。，', '，往者王莽作逆，故意汉祚中缺。，']"
9,祚,赐福,"['天地祚之，子孙众多。', '其奸回昏乱，虽大，轻也。天祚明德，有所止。成王定鼎于郏鄏，卜世三十，卜年七百，天所命也。', '，天地祚之，卯众多。，', '，俨然天地祚之，子孙众多。，', '，天地祚之，半日子孙众多。，', '其奸回昏乱，虽大，轻也。天祚明祸，有所止。成王定鼎于郏鄏，卜世三十,卜年七百,天所命也。']"
10,祚,福；福分,"['门衰祚薄，晚有儿息。', '臣少多疾病，九岁不行，零丁孤苦，至于成立。既无伯叔，终鲜兄弟，门衰祚薄，晚有儿息。外无期功强近之亲，内无应门五尺之僮，茕茕孑立，形影相吊。', '，房舍衰祚薄，晚有儿息。，', '，方门衰祚薄，晚有儿息。，', '臣少多疾病,九岁不行,零丁孤苦,至于成立。既无伯叔，贯兄弟，门衰祚薄，晚有儿息。外无期功强近之亲，内无应门五尺之僮,茕茕孑立,形影相吊。', '臣少多疾病,九岁不行,零丁孤苦,至于成立。既无伯叔，终鲜兄弟，门衰祚薄，佛有儿息。外无期功强近之亲，内无应门五尺之僮,茕茕孑立,形影相吊。']"
11,胙,赏赐,['胙之以土。']
12,胙,祭祀用的肉，祭后分送给参与祭祀的人,"['四时致宗庙之胙。', '齐桓下拜受胙夏，会于葵丘，寻盟，且修好，礼也。王使宰孔赐齐侯胙，曰：天子有事于文武，使孔赐伯舅胙。齐侯将下拜。', '，齐桓下拜受胙夏，会于犹可葵丘，寻盟,且修好,礼也。王使宰孔赐齐侯胙,曰：天子有事于文武,使孔赐伯舅胙。齐侯将下拜。', '，遗稿致宗庙之胙。，']"
13,怍,惭愧,"['自增惭怍，不敢与较。', '，自增惭怍，不敢锐较。，']"
14,坐,空；徒然,"['坐观垂钓者，徒有羡鱼情。', '，坐观垂钓雁，徒有羡鱼情。，', '，坐观垂钓者，桑树有羡鱼情。，', '，坐观垂钓不者，徒有羡鱼情。，', '，坐观垂钓者，独徒有羡鱼情。，']"
15,坐,坐待；坐等,"['与其坐而待亡，孰若起而拯之。', '谨陈其事如左：高帝明并日月，谋臣渊深，然涉险被创，危然后安。今陛下未及高帝，谋臣不如良、平，而欲以长策取胜，坐定天下：此臣之未解一也。刘繇、王朗，各据州郡，论安言计，动引圣人，群疑满腹，众难塞胸。', '，与其坐而待清泠，孰若起而拯之。，', '，与其坐而待复亡，孰若起而拯之。，', '谨陈其事如左：高帝明并日月,谋臣渊深,然涉险被创,危然后安。今陛下未及高帝,谋臣不如良、平，而欲以途取胜，坐定天下：此臣之未解一也。刘繇、王朗，各据州郡，论安言计,动引圣人,群疑满腹,众难塞胸。', '谨陈其事如左：高帝明并日月,谋臣渊深,然涉险被创,危然后安。今陛下未及高帝,谋臣不如良、平，而欲以长策取胜，坐定地震：此臣之未解一也。刘繇、王朗，各据州郡，论安言计,动引圣人,群疑满腹,众难塞胸。', '谨陈其事如左：高帝明并日月,谋臣渊深,然涉险被创,危然后安。今陛下未及高帝,谋臣不如良、平，而欲以长策取胜，坐定天下：此家书之未解一也。刘繇、王朗，各据州郡，论安言计,动引圣人,群疑满腹,众难塞胸。', '谨陈其事如左：高帝明并日月,谋臣渊深,然涉险被创,危然后安。今陛下未及高帝,谋臣不如良、平，而欲以不如长策取胜，坐定天下：此臣之未解一也。刘繇、王朗，各据州郡，论安言计,动引圣人,群疑满腹,众难塞胸。', '谨陈其事如左：高帝明并日月,谋臣渊深,然涉险被创,危然后安。今陛下未及高帝,谋臣不如良、平，而欲以长策取胜，坐定仍天下：此臣之未解一也。刘繇、王朗，各据州郡，论安言计,动引圣人,群疑满腹,众难塞胸。', '谨陈其事如左：高帝明并日月,谋臣渊深,然涉险被创,危然后安。今陛下未及高帝,谋臣不如良、平，而欲以长策取胜，坐定天下：此故臣之未解一也。刘繇、王朗，各据州郡，论安言计,动引圣人,群疑满腹,众难塞胸。']"
16,坐,座位,"['项王则受璧，置之坐上。', '郑人有欲买履者一些书上写郑人有且置履者，先自度其足，而置之其坐。至之市，而忘操之。', '，项王则受斋，置之坐上。，', '，项王则受今日璧，置之坐上。，', '郑人有欲买履者一些书上写郑人有且置履者，先自度其足，而置之其坐。至之遭，而忘操之。，', '郑人有欲买履者一些书上写郑人有且置履者，先自度其足，而置之其坐。至之不然市，而忘操之。，']"
17,坐,恰好,"['西村渡口人烟晚，坐见渔舟两两归。', '坐定，公子从车骑，虚左，自迎夷门侯生。侯生摄敝衣冠，直上载公子上坐，不让，欲以观公子。公子执辔愈恭。', '，魏倩渡口人烟晚，坐见渔舟两两归。，', '，西村湘江人烟晚，坐见渔舟两两归。，', '，西村渡口径晚，坐见渔舟两两归。，', '，西村渡口人烟晚，坐见道路两两归。，', '，何以西村渡口人烟晚，坐见渔舟两两归。，', '，西村有时渡口人烟晚，坐见渔舟两两归。，', '，西村渡口一瞬人烟晚，坐见渔舟两两归。，', '，西村渡口人烟晚，坐见勃然渔舟两两归。，', '，坐定，蓬蒿从车骑，虚左,自迎夷门侯生。侯生摄敝衣冠,直上载公子上坐,不让,欲以观公子。公子执辔愈恭。', '，坐定，公子从豺狼骑，虚左,自迎夷门侯生。侯生摄敝衣冠,直上载公子上坐,不让,欲以观公子。公子执辔愈恭。', '，坐定，谨公子从车骑，虚左,自迎夷门侯生。侯生摄敝衣冠,直上载公子上坐,不让,欲以观公子。公子执辔愈恭。', '，坐定，公子从从先车骑，虚左,自迎夷门侯生。侯生摄敝衣冠,直上载公子上坐,不让,欲以观公子。公子执辔愈恭。']"
18,坐,犯罪；因犯罪；犯罪,"['王曰：‘何坐？’曰：‘坐盗。’', '帝乃除超为兰台令史。后坐事免官。十六年，遣与从事郭恂俱使西域。', '，庆曰：‘何坐？’曰：‘坐盗。’，', '，何不王曰：‘何坐？’曰：‘坐盗。’，', '，帝乃除超为兰台朔日史。后坐事免官。十六年，遣与从事郭恂俱使西域。，', '，帝乃除超为兰台令史。后坐事免馈。十六年，遣与从事郭恂俱使西域。，', '，帝乃除超为兰台越令史。后坐事免官。十六年，遣与从事郭恂俱使西域。，', '，帝乃除超为兰台令史。后坐未必事免官。十六年，遣与从事郭恂俱使西域。，', '，帝乃除超为兰台令史。后坐事免都官。十六年，遣与从事郭恂俱使西域。，']"
19,坐,因为；由于,"['停车坐爱枫林晚。', '始出死力相煽构，而君之祸作矣。君既没，而中朝之士虽不敢讼其事，而一时阃寄所相与谗君者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。', '答曰：前山后山，何地不有。夫菱生于水，而曰土产，此坐强不知以为知也。。', '，停车坐爱五谷晚。，', '，停车坐爱何意枫林晚。，', '始出死力相煽构,而君之祸作矣。君既没,而中朝之士虽不敢讼其事，而一时阃寄所相与谗蛇者，寻且坐罪罢去。又未几，故宰执之仇君者亦报罢。，', '始出死力相煽构,而君之祸作矣。君既没,而中朝之士虽不敢讼其事，而一时阃寄所相与谗君者，寻且坐芥罢去。又未几，故宰执之仇君者亦报罢。，', '答曰：前山后山,何地不有。夫菱生于水，而曰至情，此坐强不知以为知也。。，', '答曰：前山后山,何地不有。夫菱生于水，而曰土产，此坐强不知以为贵人也。。，', '答曰：前山后山,何地不有。夫菱生于水，而曰欣然土产，此坐强不知以为知也。。，', '答曰：前山后山,何地不有。夫菱生于水，而曰土产，此坐强不知以为索知也。。，']"
20,坐,坐,"['秦王坐章台见相如。', '，秦命坐章台见相如。，', '，秦王坐旱台见相如。，', '，秦王坐章炬见相如。，', '，秦王坐轰然章台见相如。，', '，秦王坐章无疑台见相如。，']"
