sentence,label
"('“虽”有至道，弗学，不知其善也', '虽：即使')",1
"('二则虽有“嘉肴”虽有嘉肴，弗食，不知其旨也', '嘉肴：美味的菜')",1
"('二则虽有“嘉”肴虽有嘉肴，弗食，不知其旨也', '嘉：好美')",1
"('二则虽有嘉“肴”虽有嘉肴，弗食，不知其旨也', '肴：用鱼肉做的菜')",1
"('二则虽有嘉肴虽有嘉肴，弗食，不知其“旨”也', '旨：味美')",1
"('虽有“至道”，弗学，不知其善也', '至道：最好的道理')",1
"('虽有“至”道，弗学，不知其善也', '至：达到极点')",1
"('“是故”学然后知不足，教然后知困', '是故：所以')",1
"('是故学然后知不足，教然后知“困”', '困：不通，理解不了')",1
"('知不足，然后能“自反”也', '自反：反省自己')",1
"('知困，然后能“自强”也', '自强：自我勉励')",1
"('知困，然后能自“强”也', '强：勉励')",1
"('《“兑”命》曰学学半，其此之谓乎', '兑：通说，指的是殷商时期的贤相傅说')",1
"('《兑“命”》曰学学半，其此之谓乎', '命：《尚书》中的一种文章体裁，内容主要是君王任命官员或赏赐诸侯时发布的政令')",1
"('《兑命》曰学学半，“其”此之谓乎', '其：表示推测')",1
"('大道之“行”也大道之行也，天下为公，选贤与能，讲信修睦', '行：施行')",1
"('大道之行也大道之行也，天下“为”公，选贤与能，讲信修睦', '为：是，表判断')",1
"('大道之行也大道之行也，天下为公，选贤“与”能，讲信修睦', '与：通举，选举，推举')",1
"('大道之行也大道之行也，天下为公，选贤与能，讲信“修”睦', '修：培养')",1
"('故人不独“亲”其亲，不独子其子，使老有所终，壮有所用，幼有所长，矜、寡、孤、独、废疾者皆有所养，男有分，女有归', '亲：意动用法，以为亲，亲近')",1
"('故人不独亲其亲，不独子其子，使老有所终，“壮”有所用，幼有所长，矜、寡、孤、独、废疾者皆有所养，男有分，女有归', '壮：青壮年')",1
"('故人不独亲其亲，不独子其子，使老有所终，壮有所用，幼有所长，“矜”、寡、孤、独、废疾者皆有所养，男有分，女有归', '矜：通鳏，老而无妻的人')",1
